word,POS,NEG,value,prop
고치,0.0,0.0,NEUT,1.0
고통,0.0,1.0,NEG,1.0
고향,1.0,0.0,POS,1.0
곡,0.0,1.0,NEG,1.0
곤란,0.0,0.666666667,NEG,0.666666667
곤혹,0.0,1.0,NEG,1.0
곧,0.0,1.0,NEG,1.0
골,0.0,1.0,NEG,1.0
골고루,1.0,0.0,POS,1.0
골절,1.0,0.0,POS,1.0
골치,0.0,1.0,NEG,1.0
곰,0.0,1.0,NEG,1.0
곳,0.5,0.166666667,POS,0.5
공간,1.0,0.0,POS,1.0
공감,1.0,0.0,POS,1.0
공감대,1.0,0.0,POS,1.0
공급,1.0,0.0,POS,1.0
공기,1.0,0.0,POS,1.0
공동체,1.0,0.0,POS,1.0
공멸,1.0,0.0,POS,1.0
공백,0.5,0.5,NEG,0.5
공부,0.333333333,0.666666667,NEG,0.666666667
공산,0.0,1.0,NEG,1.0
공상,0.0,1.0,NEG,1.0
공식,0.0,1.0,NEG,1.0
공연,0.5,0.5,NEG,0.5
공유,1.0,0.0,POS,1.0
공장,0.0,1.0,NEG,1.0
공장장,0.0,1.0,NEG,1.0
공조,1.0,0.0,POS,1.0
공존,1.0,0.0,POS,1.0
공짜,1.0,0.0,POS,1.0
공통,0.0,1.0,NEG,1.0
공포,0.5,0.5,NEG,0.5
공화국,1.0,0.0,POS,1.0
과,0.5,0.5,NEG,0.5
과감,1.0,0.0,POS,1.0
과거,0.5,0.25,POS,0.5
과다,0.0,1.0,NEG,1.0
과대,0.0,1.0,NEG,1.0
과도,0.0,1.0,NEG,1.0
과반수,0.0,1.0,NEG,1.0
과시,0.0,1.0,NEG,1.0
과연,0.0,0.0,COMP,1.0
과열,0.5,0.5,NEG,0.5
과오,0.0,1.0,NEG,1.0
과외,1.0,0.0,POS,1.0
과욕,0.0,1.0,NEG,1.0
과잉,0.0,1.0,NEG,1.0
과장,0.0,1.0,NEG,1.0
과제,0.4,0.4,NEG,0.4
과중,0.0,1.0,NEG,1.0
과학,0.0,1.0,NEG,1.0
관객,0.5,0.5,NEG,0.5
관계,0.428571429,0.428571429,NEG,0.428571429
관계자,0.0,1.0,NEG,1.0
관광,1.0,0.0,POS,1.0
관광객,0.0,0.0,NEUT,1.0
관람객,1.0,0.0,POS,1.0
관리,0.0,1.0,NEG,1.0
관심,0.857142857,0.14285714300000002,POS,0.857142857
관심거리,1.0,0.0,POS,1.0
관심사,0.0,0.0,COMP,1.0
관여,0.0,0.0,NEUT,1.0
관점,0.0,0.5,COMP,0.5
관철,0.0,1.0,NEG,1.0
관하,1.0,0.0,POS,1.0
광복,1.0,0.0,POS,1.0
광활,1.0,0.0,POS,1.0
괜하,0.0,0.0,None,1.0
괴로워하,0.0,1.0,NEG,1.0
괴팍,1.0,0.0,POS,1.0
교단,0.0,1.0,NEG,1.0
교류,0.5,0.5,NEG,0.5
교류설,0.0,0.0,NEUT,1.0
교수,1.0,0.0,POS,1.0
교역전,1.0,0.0,POS,1.0
교육,0.666666667,0.333333333,POS,0.666666667
교통,0.0,1.0,NEG,1.0
교포,0.0,1.0,NEG,1.0
교환전,1.0,0.0,POS,1.0
교회,0.0,1.0,NEG,1.0
교훈,0.5,0.5,NEG,0.5
구걸,0.0,1.0,NEG,1.0
구경,1.0,0.0,POS,1.0
구나,0.0,1.0,NEG,1.0
구별,1.0,0.0,POS,1.0
구분,0.0,0.0,NEUT,1.0
구상,0.0,0.0,NEUT,1.0
구석,1.0,0.0,POS,1.0
구설수,0.0,1.0,NEG,1.0
구식,0.0,1.0,NEG,1.0
구실,0.0,0.0,None,1.0
구애,1.0,0.0,POS,1.0
구입,0.0,1.0,NEG,1.0
구제,1.0,0.0,POS,1.0
구체,1.0,0.0,POS,1.0
구태,0.0,1.0,NEG,1.0
구토,0.0,0.0,NEUT,1.0
구하,1.0,0.0,POS,1.0
국가,0.0,1.0,NEG,1.0
국교,0.0,1.0,NEG,1.0
국군,0.0,1.0,NEG,1.0
국기,0.0,1.0,NEG,1.0
국내,1.0,0.0,POS,1.0
국무,1.0,0.0,POS,1.0
